Batch 328, DSC Scores: [0.9995161751132878, 0.7368026582057111]
Batch 329, DSC Scores: [0.9994766505195162, 0.4148297820230223]
Batch 330, DSC Scores: [0.9996972582313588, 0.5390472628176013]
Batch 331, DSC Scores: [0.9996446713868344, 0.41304347826086957]
Batch 332, DSC Scores: [0.9998406992084267, 0.686220693760127]
Batch 333, DSC Scores: [0.999292186864925, 0.7326711569613777]
Batch 334, DSC Scores: [0.9989104151776453, 0.4421388667198723]
Batch 335, DSC Scores: [0.9993754347376156, 0.8522642653043554]
Batch 336, DSC Scores: [0.9991019416153617, 0.45341595662277306]
Batch 337, DSC Scores: [0.9997419432982187, 0.6954710144927536]
Batch 338, DSC Scores: [0.9992539696419607, 0.4800471668838826]
Batch 339, DSC Scores: [0.9994506552287516, 0.5151081835017229]
Batch 340, DSC Scores: [0.9993512846974796, 0.6323574931169867]
Batch 341, DSC Scores: [0.9998382259730964, 0.8159947585020781]
Batch 342, DSC Scores: [0.9994476987877631, 0.6669592605979243]
Batch 343, DSC Scores: [0.9995718484144082, 0.7490803283799231]
Batch 344, DSC Scores: [0.9994932965447361, 0.13788729842362746]
Batch 345, DSC Scores: [0.9996827105854165, 0.7428522032286646]
Batch 346, DSC Scores: [0.9997744131658588, 0.8277946853489655]
Batch 347, DSC Scores: [0.9994723372471455, 0.6224452687468179]
Batch 348, DSC Scores: [0.999749634508653, 0.7002445698234738]
Batch 349, DSC Scores: [0.9995670065941465, 0.5163553885955275]
Batch 350, DSC Scores: [0.9996705547388678, 0.5748669611491775]
Batch 351, DSC Scores: [0.9995566867577471, 0.7572366270150642]
Batch 352, DSC Scores: [0.9994578903785624, 0.6075246710526315]
Batch 353, DSC Scores: [0.9996668509570649, 0.7816117542297417]
Batch 354, DSC Scores: [0.9993356933318149, 0.7792637833661399]
Batch 355, DSC Scores: [0.9995967274596723, 0.5375453133091662]
Batch 356, DSC Scores: [0.9998247611026297, 0.8634697559585984]
Batch 357, DSC Scores: [0.9995796906875992, 0.8149653579676674]
Batch 358, DSC Scores: [0.9997172585792402, 0.5993532506395096]
Batch 359, DSC Scores: [0.9992806340955978, 0.31118372348301127]
Batch 360, DSC Scores: [0.9998543756161326, 0.6567410642944654]
Batch 361, DSC Scores: [0.9996852508291241, 0.5273296971103633]
Batch 362, DSC Scores: [0.9995137135439237, 0.36207989854153455]
Batch 363, DSC Scores: [0.9991735754747966, 0.7293382452215171]
Batch 364, DSC Scores: [0.9985579131615665, 0.14200239329876346]
Batch 365, DSC Scores: [0.9998244068973036, 0.7697303627991163]
Batch 366, DSC Scores: [0.9996247831192603, 0.3662101507653355]
Batch 367, DSC Scores: [0.9992519289899977, 0.3699219372311614]
Batch 368, DSC Scores: [0.9996970344735195, 0.7040870208047312]
Batch 369, DSC Scores: [0.9994004622563156, 0.1239656518345043]
Batch 370, DSC Scores: [0.9997901999881355, 0.43603337789866764]
Batch 371, DSC Scores: [0.999398672069623, 0.6260275532278264]
Batch 372, DSC Scores: [0.9993619910490651, 0.6106853271131845]
Batch 373, DSC Scores: [0.9990742242365529, 0.8118849089841457]
Batch 374, DSC Scores: [0.9995378234619634, 0.7290255576627833]
Batch 375, DSC Scores: [0.9996616467133915, 0.7598609149190482]
Batch 376, DSC Scores: [0.9998592624877731, 0.7019068984856983]
Batch 377, DSC Scores: [0.999844790734649, 0.7432310328711638]
Batch 378, DSC Scores: [0.9997910113312262, 0.849941459607129]
Batch 379, DSC Scores: [0.9998344160427937, 0.7786325680056168]
Batch 380, DSC Scores: [0.9996124487783179, 0.7582336924351841]
Batch 381, DSC Scores: [0.9996100055044458, 0.14279119864594553]
Batch 382, DSC Scores: [0.9998413835710803, 0.6772690763052209]
Batch 383, DSC Scores: [0.999472422817244, 0.400165186867644]
Batch 384, DSC Scores: [0.9995722944370631, 0.4150416386489422]
Batch 385, DSC Scores: [0.9993919937991506, 0.3370192984927455]
Batch 386, DSC Scores: [0.9997696128570733, 0.7269680137904616]
Batch 387, DSC Scores: [0.9995480066017384, 0.5327955017723994]
Batch 388, DSC Scores: [0.9997908789171912, 0.6235357722112093]
Batch 389, DSC Scores: [0.9998192220802079, 0.7631761142362613]
Batch 390, DSC Scores: [0.9995357728817279, 0.42078675838349094]
Batch 391, DSC Scores: [0.9996472022862036, 0.700168541258212]
Batch 392, DSC Scores: [0.9991503385110587, 0.4286177035869307]
Batch 393, DSC Scores: [0.99961196873095, 0.8214904679376083]
Batch 394, DSC Scores: [0.99983101686037, 0.7299159208028208]
Batch 395, DSC Scores: [0.9994598112887734, 0.6523345454545455]
Batch 396, DSC Scores: [0.999450735098904, 0.5519935071522776]
Batch 397, DSC Scores: [0.9996773316002604, 0.8435976322844138]
Batch 398, DSC Scores: [0.9991944770986939, 0.42651996856469243]
Batch 399, DSC Scores: [0.9998431585981866, 0.8435491645244216]
Batch 400, DSC Scores: [0.9996898329836774, 0.8350483438822661]
Batch 401, DSC Scores: [0.9993859310927646, 0.7568142130438084]
Batch 402, DSC Scores: [0.9996673637412629, 0.7008109524837347]
Batch 403, DSC Scores: [0.9995243630692916, 0.28778197939757466]
Batch 404, DSC Scores: [0.9996852681338896, 0.6152024235747728]
Batch 405, DSC Scores: [0.9996527092627249, 0.9072038671434977]
Batch 406, DSC Scores: [0.9996006846022689, 0.5664412950201534]
Batch 407, DSC Scores: [0.9992427276869421, 0.7067948614365355]
Batch 408, DSC Scores: [0.9998380733457578, 0.7350154212032255]
Batch 409, DSC Scores: [0.9997852480600269, 0.7159339094103124]
Batch 410, DSC Scores: [0.9996426824236676, 0.5044738675958188]
Batch 411, DSC Scores: [0.9998345624704867, 0.7569151004536617]
Batch 412, DSC Scores: [0.9981977458289404, 0.3279392136507576]
Batch 413, DSC Scores: [0.99854497965648, 0.3400922284009223]
Batch 414, DSC Scores: [0.9996477587488931, 0.752710945442223]
